subject,block,backend,sequence_id,eye,frame_offset,frame_idx,unix_ms,face_detected,face_status,roi_status,image_status,error_code,roi_path,source_width,source_height,source_to_roi_affine,roi_to_source_affine,roi_corners_source,normalized_canthi,canthi_source,reference_kind,locator_box_source,reference_points_source,normalized_reference_points,ear,baseline_open_ear,openness,visible_proxy,p80_closed_proxy,visibility_source
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,0,9441,1786791952687,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0000.png,1920,1080,"[[2.807017543859649,0.0,-3455.438596491228],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.35625000000000007,-0.0,1231.0000000000002],[-0.0,0.3625,198.0]]","[[1231.0,198.0],[1344.643798828125,198.0],[1344.643798828125,255.6374969482422],[1231.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1231.0,198.0,1345.0,256.0]","[[1288.4879333496094,227.19609077453615]]","[[161.36962890625,80.54095458984375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,0,9441,1786791952687,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0000.png,1920,1080,"[[2.807017543859649,0.0,-3994.3859649122805],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.35625000000000007,-0.0,1423.0000000000002],[-0.0,0.3625,198.0]]","[[1423.0,198.0],[1536.643798828125,198.0],[1536.643798828125,255.6374969482422],[1423.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1423.0,198.0,1537.0,256.0]","[[1480.1925476074218,227.19609077453615]]","[[160.540283203125,80.54095458984375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,1,9442,1786791952693,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0001.png,1920,1080,"[[2.807017543859649,0.0,-3455.438596491228],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.35625000000000007,-0.0,1231.0000000000002],[-0.0,0.3625,198.0]]","[[1231.0,198.0],[1344.643798828125,198.0],[1344.643798828125,255.6374969482422],[1231.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1231.0,198.0,1345.0,256.0]","[[1288.4879333496094,227.19609077453615]]","[[161.36962890625,80.54095458984375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,1,9442,1786791952693,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0001.png,1920,1080,"[[2.807017543859649,0.0,-3994.3859649122805],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.35625000000000007,-0.0,1423.0000000000002],[-0.0,0.3625,198.0]]","[[1423.0,198.0],[1536.643798828125,198.0],[1536.643798828125,255.6374969482422],[1423.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1423.0,198.0,1537.0,256.0]","[[1480.1925476074218,227.19609077453615]]","[[160.540283203125,80.54095458984375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,2,9443,1786791952734,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0002.png,1920,1080,"[[2.7586206896551726,0.0,-3423.448275862069],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.36249999999999993,-0.0,1240.9999999999998],[-0.0,0.36249999999999993,197.99999999999997]]","[[1241.0,198.0],[1356.637451171875,198.0],[1356.637451171875,255.6374969482422],[1241.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1241.0,198.0,1357.0,256.0]","[[1299.2542602539063,227.7377222442627]]","[[160.70166015625,82.03509521484375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,2,9443,1786791952734,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0002.png,1920,1080,"[[2.7586206896551726,0.0,-3958.6206896551726],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.36249999999999993,-0.0,1434.9999999999998],[-0.0,0.36249999999999993,197.99999999999997]]","[[1435.0,198.0],[1550.637451171875,198.0],[1550.637451171875,255.6374969482422],[1435.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1435.0,198.0,1551.0,256.0]","[[1493.0825317382812,227.7377222442627]]","[[160.22802734375,82.03509521484375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,3,9444,1786791952769,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0003.png,1920,1080,"[[2.7586206896551726,0.0,-3409.655172413793],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.36249999999999993,-0.0,1235.9999999999998],[-0.0,0.36249999999999993,197.99999999999997]]","[[1236.0,198.0],[1351.637451171875,198.0],[1351.637451171875,255.6374969482422],[1236.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1236.0,198.0,1352.0,256.0]","[[1294.3151037597656,227.63666484832763]]","[[160.869140625,81.75628662109375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,3,9444,1786791952769,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0003.png,1920,1080,"[[2.7586206896551726,0.0,-3942.0689655172414],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.36249999999999993,-0.0,1428.9999999999998],[-0.0,0.36249999999999993,197.99999999999997]]","[[1429.0,198.0],[1544.637451171875,198.0],[1544.637451171875,255.6374969482422],[1429.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1429.0,198.0,1545.0,256.0]","[[1487.3259484863281,227.63666484832763]]","[[160.8994140625,81.75628662109375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,4,9445,1786791952815,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0004.png,1920,1080,"[[2.807017543859649,0.0,-3452.6315789473683],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.35625000000000007,-0.0,1230.0000000000002],[-0.0,0.3625,198.0]]","[[1230.0,198.0],[1343.643798828125,198.0],[1343.643798828125,255.6374969482422],[1230.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1230.0,198.0,1344.0,256.0]","[[1287.1093725585938,227.26513160705568]]","[[160.30712890625,80.73138427734375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,4,9445,1786791952815,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0004.png,1920,1080,"[[2.807017543859649,0.0,-3988.7719298245615],[0.0,2.7586206896551726,-546.2068965517242]]","[[0.35625000000000007,-0.0,1421.0000000000002],[-0.0,0.3625,198.0]]","[[1421.0,198.0],[1534.643798828125,198.0],[1534.643798828125,255.6374969482422],[1421.0,255.6374969482422]]",,,yolo_eye_center_or_bbox_estimate,"[1421.0,198.0,1535.0,256.0]","[[1478.4281030273437,227.26513160705568]]","[[161.20166015625,80.73138427734375]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,5,9446,1786791952847,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0005.png,1920,1080,"[[2.807017543859649,0.0,-3455.438596491228],[0.0,2.857142857142857,-568.5714285714286]]","[[0.35625,-0.0,1231.0],[-0.0,0.35,198.99999999999997]]","[[1231.0,199.0],[1344.643798828125,199.0],[1344.643798828125,254.64999389648438],[1231.0,254.64999389648438]]",,,yolo_eye_center_or_bbox_estimate,"[1231.0,199.0,1345.0,255.0]","[[1288.3757263183593,227.2101446914673]]","[[161.054931640625,80.6004638671875]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,5,9446,1786791952847,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0005.png,1920,1080,"[[2.807017543859649,0.0,-3988.7719298245615],[0.0,2.857142857142857,-568.5714285714286]]","[[0.35625,-0.0,1421.0],[-0.0,0.35,198.99999999999997]]","[[1421.0,199.0],[1534.643798828125,199.0],[1534.643798828125,254.64999389648438],[1421.0,254.64999389648438]]",,,yolo_eye_center_or_bbox_estimate,"[1421.0,199.0,1535.0,255.0]","[[1478.862615966797,227.2101446914673]]","[[162.42138671875,80.6004638671875]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,6,9447,1786791952855,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0006.png,1920,1080,"[[2.807017543859649,0.0,-3455.438596491228],[0.0,2.857142857142857,-568.5714285714286]]","[[0.35625,-0.0,1231.0],[-0.0,0.35,198.99999999999997]]","[[1231.0,199.0],[1344.643798828125,199.0],[1344.643798828125,254.64999389648438],[1231.0,254.64999389648438]]",,,yolo_eye_center_or_bbox_estimate,"[1231.0,199.0,1345.0,255.0]","[[1288.3757263183593,227.2101446914673]]","[[161.054931640625,80.6004638671875]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,6,9447,1786791952855,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0006.png,1920,1080,"[[2.807017543859649,0.0,-3988.7719298245615],[0.0,2.857142857142857,-568.5714285714286]]","[[0.35625,-0.0,1421.0],[-0.0,0.35,198.99999999999997]]","[[1421.0,199.0],[1534.643798828125,199.0],[1534.643798828125,254.64999389648438],[1421.0,254.64999389648438]]",,,yolo_eye_center_or_bbox_estimate,"[1421.0,199.0,1535.0,255.0]","[[1478.862615966797,227.2101446914673]]","[[162.42138671875,80.6004638671875]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,7,9448,1786791952895,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0007.png,1920,1080,"[[2.807017543859649,0.0,-3438.59649122807],[0.0,2.857142857142857,-568.5714285714286]]","[[0.35625,-0.0,1225.0],[-0.0,0.35,198.99999999999997]]","[[1225.0,199.0],[1338.643798828125,199.0],[1338.643798828125,254.64999389648438],[1225.0,254.64999389648438]]",,,yolo_eye_center_or_bbox_estimate,"[1225.0,199.0,1339.0,255.0]","[[1282.4285083007812,227.8643146133423]]","[[161.202880859375,82.46954345703125]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_left,7,9448,1786791952895,1,ok,ok,ok,,segments/sub-011_-s1/eye_left/f0007.png,1920,1080,"[[2.807017543859649,0.0,-3971.9298245614036],[0.0,2.857142857142857,-568.5714285714286]]","[[0.35625,-0.0,1415.0],[-0.0,0.35,198.99999999999997]]","[[1415.0,199.0],[1528.643798828125,199.0],[1528.643798828125,254.64999389648438],[1415.0,254.64999389648438]]",,,yolo_eye_center_or_bbox_estimate,"[1415.0,199.0,1529.0,255.0]","[[1472.4419750976563,227.8643146133423]]","[[161.240478515625,82.46954345703125]]",,,,,,
sub-011_,1,yolo-span500,sub-011_-s1,eye_right,8,9449,1786791952926,1,ok,ok,ok,,segments/sub-011_-s1/eye_right/f0008.png,1920,1080,"[[2.711864406779661,0.0,-3311.186440677966],[0.0,2.7586206896551726,-548.9655172413793]]","[[0.36875,-0.0,1221.0],[-0.0,0.3625,199.0]]","[[1221.0,199.0],[1338.6312255859375,199.0],[1338.6312255859375,256.63751220703125],[1221.0,256.63751220703125]]",,,yolo_eye_center_or_bbox_estimate,"[1221.0,199.0,1339.0,257.0]","[[1280.8847973632812,228.36478546142578]]","[[162.3994140625,81.00634765625]]",,,,,,
